Tanggal,Tidak diindeks,Terindeks,Tayangan
2026-03-27,,,1201
2026-03-28,137,195,952
2026-03-29,138,193,1001
2026-03-30,138,193,1014
2026-03-31,138,193,1208
2026-04-01,141,188,1272
2026-04-02,141,188,1404
2026-04-03,141,188,1386
2026-04-04,141,188,1354
2026-04-05,139,187,1410
2026-04-06,139,187,1822
2026-04-07,137,186,2047
2026-04-08,137,186,2098
2026-04-09,137,186,1661
2026-04-10,137,186,1702
2026-04-11,157,183,1628
2026-04-12,157,183,1570
2026-04-13,157,183,1681
2026-04-14,158,185,1561
2026-04-15,158,185,2290
2026-04-16,158,185,1784
2026-04-17,158,185,1733
2026-04-18,155,189,1585
2026-04-19,155,189,1883
2026-04-20,155,189,1898
2026-04-21,159,191,1577
2026-04-22,159,191,1514
2026-04-23,159,191,1449
2026-04-24,159,191,1279
2026-04-25,159,191,1234
2026-04-26,159,191,1416
2026-04-27,159,191,1250
2026-04-28,157,183,1291
2026-04-29,157,183,1435
2026-04-30,157,183,1121
2026-05-01,157,183,1219
2026-05-02,158,179,1067
2026-05-03,158,179,1420
2026-05-04,158,179,1467
2026-05-05,156,179,1402
2026-05-06,156,179,1479
2026-05-07,156,179,1414
2026-05-08,156,179,1131
2026-05-09,155,181,1161
2026-05-10,155,181,1320
2026-05-11,155,181,1395
2026-05-12,152,189,1370
2026-05-13,152,189,1193
2026-05-14,152,189,1299
2026-05-15,152,189,1255
2026-05-16,150,189,1232
2026-05-17,150,189,1375
2026-05-18,150,189,1442
2026-05-19,150,192,1352
2026-05-20,150,192,1339
2026-05-21,150,192,1252
2026-05-22,150,192,1213
2026-05-23,146,198,1210
2026-05-24,146,198,1567
2026-05-25,146,198,1720
2026-05-26,140,204,1316
2026-05-27,140,204,1542
2026-05-28,140,204,1801
2026-05-29,140,204,1865
2026-05-30,141,201,1551
2026-05-31,141,201,1629
2026-06-01,141,201,1814
2026-06-02,137,200,1818
2026-06-03,137,200,1796
2026-06-04,137,200,1771
2026-06-05,137,200,1625
2026-06-06,134,200,1589
2026-06-07,134,200,1682
2026-06-08,134,200,1588
2026-06-09,186,228,1690
2026-06-10,186,228,1641
2026-06-11,186,228,1668
2026-06-12,186,228,1831